Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT700,LTE700,LTE900,LTE1800,LTE2100,LTE2600,NR700,NR900,NR2100,NR3600
2025,Optus-TPG MOCN,2428012,-32.20231,152.51545,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2429001,-31.857109,152.40673,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2429007,-32.09131,152.24077,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2429009,-31.871576,152.360494,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2430002,-32.003189,152.415739,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2430004,-31.910454,152.454624,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2430005,-31.973868,152.565552,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2430006,-32.058346,152.531282,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2430007,-31.757372,152.565287,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2430009,-31.97014,152.462853,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2430011,-31.905676,152.456158,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2430022,-31.84691,152.50828,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2430023,-31.88559,152.45692,Y,Y,Y,Y,,Y,,,,
2025,Optus-TPG MOCN,2430024,-31.90191,152.53354,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2430026,-31.968492,152.588386,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2430027,-31.94768,152.47848,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2431001,-30.889688,153.048507,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2439002,-31.701764,152.67858,Y,Y,Y,Y,,,,,,
2025,Optus-TPG MOCN,2439008,-31.629417,152.724366,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2440001,-31.193407,152.978947,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2440002,-31.07664006,152.8326777,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2440003,-30.914416,152.940441,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2440007,-31.063624,153.043907,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2440008,-30.99801,152.9375,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2440011,-31.033622,152.876261,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2440012,-30.929546,152.622563,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2440013,-31.048665,152.771247,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2440027,-31.067781,152.820071,Y,Y,,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2440029,-30.95568,152.86955,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2441001,-31.162952,152.789971,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2441004,-31.358453,152.775947,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2441005,-31.341348,152.682572,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2441008,-31.27392922,152.7863929,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2441009,-31.28149,152.81537,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2441014,-30.83494,152.99317,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2443001,-31.656328,152.814824,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2443010,-31.635458,152.808916,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2443011,-31.63696,152.78312,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2443014,-31.634488,152.755224,Y,Y,Y,Y,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2443015,-31.582199,152.732766,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2444004,-31.465606,152.9192,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2444005,-31.453577,152.882542,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2444006,-31.425579,152.878757,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2444007,-31.46068,152.79645,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2444008,-31.431499,152.914583,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2444010,-31.430262,152.907267,Y,Y,Y,Y,,Y,,,,
2025,Optus-TPG MOCN,2444011,-31.457965,152.723404,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2444015,-31.452785,152.912579,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2444020,-31.45801,152.86245,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2444021,-31.42994,152.8872,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2444022,-31.48144,152.91689,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2444026,-31.452183,152.878076,Y,Y,,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2444027,-31.458256,152.827999,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2445001,-31.579079,152.798663,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2445003,-31.55335,152.853156,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2446001,-31.43465,152.82058,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2446002,-31.445097,152.476817,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2446011,-31.43905,152.65814,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2446019,-31.39371,152.25471,Y,Y,Y,Y,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2446023,-31.42116,152.29859,Y,Y,Y,,,,Y,,,
2025,Optus-TPG MOCN,2447002,-30.813868,152.919971,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2447004,-30.712671,152.91207,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2447006,-30.675078,152.852912,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2447012,-30.75373,152.9893,Y,Y,Y,,,Y,,,,
2025,Optus-TPG MOCN,2447018,-30.69398,152.9438,Y,Y,,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2448001,-30.56076,152.996694,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2448002,-30.652147,152.961373,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2448003,-30.64002,152.99127,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2448007,-30.5906,152.99768,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2450007,-30.21924,153.05341,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2450016,-30.14127038,152.9951809,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2450017,-30.05203,152.970719,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2450027,-30.317408,152.859447,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2450032,-30.21745,152.889454,Y,Y,Y,,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2453001,-30.340757,152.711524,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2453011,-30.208241,152.5525405,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2453012,-30.481328,152.392913,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2453016,-30.07853,152.619581,Y,Y,,,Y,,,,,
2025,Optus-TPG MOCN,2453017,-30.297213,152.421398,Y,Y,Y,Y,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2453025,-30.3766,152.57556,Y,Y,Y,,Y,,,,,
2025,Optus-TPG MOCN,2454002,-30.451557,152.886931,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2454005,-30.49984,152.9072,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2455001,-30.52817,152.99664,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2455002,-30.498227,153.013549,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2460001,-29.81078952,153.0351487,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2460002,-29.980843,153.109802,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2460003,-29.73098,152.92181,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2460005,-29.701889,152.942004,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2460007,-29.68914,152.93353,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2460009,-29.596198,152.594066,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2460012,-29.6707,152.938189,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2460014,-29.640328,152.926369,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2460015,-29.90542,152.70043,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2460016,-29.592088,152.795255,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2460017,-29.745654,152.995483,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2460019,-29.832431,152.882917,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2460036,-29.66307,152.878904,Y,Y,Y,Y,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2462001,-29.872897,153.265318,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2462002,-29.615527,153.059937,Y,Y,,,,,,,,
